gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,lat
1411812307.00,135.4,0.072,164.9800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.54297,0.085938,10.0273,41.177987
1411812308.00,135.5,0.067,163.2700,1.1,1.5,1.8,-0.017578,0.019531,0.0019531,-0.54297,-0.16797,10.2344,41.177987
1411812309.00,135.7,0.072,163.6800,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.48828,-0.0039063,10.0977,41.177987
1411812311.00,135.8,0.082,174.8200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.44531,0.0078125,10.0898,41.177987
1411812312.00,135.9,0.087,177.6200,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.41797,-0.011719,9.9297,41.177987
1411812313.00,136.0,0.093,178.5400,1.1,1.5,1.8,-0.015625,0.011719,0.0039063,-0.56641,0.011719,9.7266,41.177987
1411812314.00,136.1,0.072,174.4800,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.60156,0.0625,9.8984,41.177987
1411812315.00,136.1,0.057,172.8700,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.60938,0.16406,9.9141,41.177987
1411812316.00,136.1,0.067,164.7800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.62891,-0.058594,10.125,41.177988
1411812317.00,136.2,0.067,170.9600,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.63672,-0.10938,10.2578,41.177988
1411812318.00,136.4,0.067,171.8900,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.64063,0.0625,10.043,41.177988
1411812319.00,136.5,0.062,172.1600,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.61328,0.046875,9.8516,41.177988
1411812321.00,136.7,0.072,173.8700,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.68359,0.03125,9.8242,41.177988
1411812322.00,136.9,0.072,172.5100,1.1,1.5,1.8,-0.019531,0.019531,0.0039063,-0.66797,-0.066406,9.8789,41.177988
1411812323.00,136.9,0.057,170.3000,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.66016,0.17969,9.9531,41.177988
1411812324.00,137.0,0.072,161.6600,1.1,1.5,1.8,-0.013672,0.011719,0.0019531,-0.57422,0.089844,10.0469,41.177988
1411812326.00,136.9,0.067,183.4200,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.63281,-0.11719,10.125,41.177990
1411812327.00,136.7,0.062,171.4900,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.56641,0.054688,10.1406,41.177990
1411812328.00,136.5,0.062,171.9900,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.46094,0.054688,10.1406,41.177990
1411812329.00,136.3,0.057,167.7800,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.53125,0.058594,9.9141,41.177992
1411812330.00,135.9,0.057,164.4700,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.55078,-0.046875,9.7422,41.177992
1411812332.00,135.7,0.057,189.8700,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.48828,-0.066406,9.8945,41.177992
1411812333.00,135.5,0.036,171.1000,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.5,0.23438,9.9805,41.177993
1411812334.00,135.3,0.031,165.1700,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.52344,-0.12891,10.1563,41.177993
1411812335.00,135.1,0.036,161.6600,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.64844,-0.015625,10.1992,41.177993
1411812337.00,135.1,0.062,185.5200,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.54688,0.011719,10.1094,41.177993
1411812338.00,135.2,0.072,176.9400,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.47266,0.0078125,10.0039,41.177993
1411812339.00,135.3,0.067,178.3100,1.1,1.5,1.8,-0.013672,0.013672,0.0039063,-0.55859,0.039063,9.8047,41.177992
