systime, gpstime, latitude, longitude, altitude, speed, heading, hpdop, vdop, pdop
1411812334.74901, 1411812332.00, 41.177992, -8.598413, 135.7, 0.057, 189.8700, 1.1, 1.5, 1.8
1411812335.70443, 1411812333.00, 41.177993, -8.598413, 135.5, 0.036, 171.1000, 1.1, 1.5, 1.8
1411812336.75770, 1411812334.00, 41.177993, -8.598413, 135.3, 0.031, 165.1700, 1.1, 1.5, 1.8
1411812338.64123, 1411812335.00, 41.177993, -8.598413, 135.1, 0.036, 161.6600, 1.1, 1.5, 1.8
1411812339.70985, 1411812337.00, 41.177993, -8.598412, 135.1, 0.062, 185.5200, 1.1, 1.5, 1.8
1411812340.71682, 1411812338.00, 41.177993, -8.598412, 135.2, 0.072, 176.9400, 1.1, 1.5, 1.8
1411812341.70451, 1411812339.00, 41.177992, -8.598412, 135.3, 0.067, 178.3100, 1.1, 1.5, 1.8
1411812343.71461, 1411812341.00, 41.177990, -8.598410, 135.4, 0.072, 178.0600, 1.1, 1.5, 1.8
1411812344.73273, 1411812342.00, 41.177990, -8.598410, 135.5, 0.067, 175.6800, 1.1, 1.5, 1.8
1411812345.72321, 1411812343.00, 41.177990, -8.598408, 135.6, 0.067, 181.8800, 1.1, 1.5, 1.8
1411812346.80142, 1411812344.00, 41.177988, -8.598408, 135.7, 0.077, 184.7900, 1.1, 1.5, 1.8
1411812348.09562, 1411812345.00, 41.177988, -8.598408, 135.8, 0.067, 172.3000, 1.1, 1.5, 1.8
1411812348.74305, 1411812346.00, 41.177987, -8.598407, 136.0, 0.072, 170.3800, 1.1, 1.5, 1.8
1411812349.68348, 1411812347.00, 41.177987, -8.598407, 136.1, 0.077, 181.1900, 1.1, 1.5, 1.8
1411812350.72300, 1411812348.00, 41.177985, -8.598407, 136.2, 0.077, 178.4200, 1.1, 1.5, 1.8
1411812351.72765, 1411812349.00, 41.177985, -8.598405, 136.5, 0.067, 174.3200, 1.1, 1.5, 1.8
1411812353.67678, 1411812351.00, 41.177983, -8.598403, 137.2, 0.077, 174.3100, 1.1, 1.5, 1.8
1411812354.74277, 1411812352.00, 41.177983, -8.598402, 137.6, 0.067, 174.4200, 1.1, 1.5, 1.8
1411812355.75684, 1411812353.00, 41.177982, -8.598400, 138.0, 0.072, 174.9900, 1.1, 1.5, 1.8
1411812356.70099, 1411812354.00, 41.177982, -8.598398, 138.4, 0.072, 174.3500, 1.1, 1.5, 1.8
1411812358.65417, 1411812355.00, 41.177980, -8.598398, 139.2, 0.067, 170.3800, 1.1, 1.5, 1.8
1411812359.71486, 1411812357.00, 41.177980, -8.598397, 139.4, 0.077, 174.5000, 1.1, 1.5, 1.8
1411812360.68144, 1411812358.00, 41.177978, -8.598395, 139.6, 0.067, 176.0000, 1.1, 1.5, 1.8
1411812361.72074, 1411812359.00, 41.177978, -8.598395, 139.8, 0.077, 178.4300, 1.1, 1.5, 1.8
1411812363.74286, 1411812361.00, 41.177977, -8.598393, 139.9, 0.067, 176.5300, 1.1, 1.5, 1.8
1411812364.66376, 1411812362.00, 41.177977, -8.598393, 140.0, 0.072, 188.8600, 1.1, 1.5, 1.8
1411812365.71759, 1411812363.00, 41.177977, -8.598393, 140.0, 0.072, 188.6300, 1.1, 1.5, 1.8
1411812366.76291, 1411812364.00, 41.177977, -8.598393, 140.0, 0.072, 192.1800, 1.1, 1.5, 1.8
1411812368.69788, 1411812366.00, 41.177975, -8.598393, 140.1, 0.062, 176.2400, 1.1, 1.5, 1.8
