gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,long
1411812187.00,125.8,0.062,168.1800,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.51172,0.019531,9.9219,-5.375,-39.5,-49.75,-8.598390
1411812188.00,125.8,0.067,159.8800,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.59766,-0.0078125,9.6914,-5.375,-39.625,-49.5,-8.598388
1411812189.00,125.8,0.057,165.0800,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.56641,0.015625,9.9297,-5.375,-39.5,-49.375,-8.598388
1411812190.00,125.9,0.057,164.9100,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.60547,0.21484,10.0508,-5.5,-39.5,-49.375,-8.598388
1411812192.00,125.9,0.057,163.8800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.64063,-0.027344,10.1172,-5.5,-39.5,-49.375,-8.598388
1411812193.00,125.9,0.062,162.0100,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.51563,-0.12891,10.1172,-5.375,-39.625,-49.125,-8.598388
1411812194.00,126.0,0.062,165.7700,1.1,1.5,1.8,-0.017578,0.013672,0.0019531,-0.42969,0.050781,10.1094,-5.5,-39.625,-49.375,-8.598388
1411812195.00,126.0,0.062,170.3600,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.45703,-0.054688,10.0625,-5.25,-39.25,-49.375,-8.598388
1411812196.00,126.0,0.062,171.8700,1.1,1.5,1.8,-0.015625,0.011719,0.0039063,-0.39063,0.011719,9.8086,-5.375,-39.375,-49.0,-8.598388
1411812197.00,126.1,0.062,169.3400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.58594,-0.066406,9.7617,-5.75,-39.25,-49.25,-8.598388
1411812198.00,126.1,0.062,171.8800,1.1,1.5,1.8,-0.017578,0.011719,0.0039063,-0.58984,0.097656,9.9648,-5.625,-39.125,-49.375,-8.598388
1411812199.00,126.2,0.062,172.5300,1.1,1.5,1.8,-0.011719,0.017578,0.0039063,-0.64063,0.20313,9.9453,-5.5,-39.0,-49.25,-8.598388
1411812201.00,126.4,0.062,172.7500,1.1,1.5,1.8,-0.021484,0.019531,0.0019531,-0.63672,-0.11328,10.168,-5.375,-38.875,-49.125,-8.598388
1411812202.00,126.4,0.062,173.4300,1.1,1.5,1.8,-0.013672,0.015625,0.0039063,-0.60156,0.011719,10.207,-5.5,-38.875,-49.125,-8.598388
1411812203.00,126.5,0.067,173.6400,1.1,1.5,1.8,-0.023438,0.017578,0.0019531,-0.64844,0.050781,9.7188,-5.625,-38.875,-49.0,-8.598388
1411812204.00,126.6,0.062,172.7500,1.1,1.5,1.8,-0.017578,0.011719,0.0019531,-0.55859,0.027344,10.0234,-5.75,-38.75,-48.875,-8.598388
1411812205.00,126.7,0.062,172.3700,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.69141,0.0,9.7852,-5.625,-38.875,-49.0,-8.598388
1411812207.00,126.8,0.057,172.3600,1.1,1.5,1.8,-0.021484,0.017578,0.0039063,-0.65625,0.046875,9.8008,-5.25,-38.875,-49.0,-8.598388
1411812208.00,126.9,0.067,176.7800,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.62109,0.19922,10.0391,-5.125,-38.875,-48.875,-8.598388
1411812209.00,126.9,0.067,173.5900,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.66016,0.0,10.1445,-5.125,-39.0,-49.0,-8.598388
1411812210.00,127.1,0.062,172.2600,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.58203,-0.074219,10.1914,-5.25,-38.875,-49.0,-8.598388
1411812212.00,127.2,0.129,174.0000,1.1,1.5,1.8,-0.019531,0.015625,0.0,-0.49219,0.074219,10.0742,-5.25,-38.875,-49.125,-8.598388
1411812213.00,127.3,0.129,172.7200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.44531,-0.054688,10.0703,-5.125,-38.875,-49.125,-8.598388
1411812214.00,127.4,0.046,177.5700,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.50781,0.0,9.7461,-5.25,-38.875,-49.25,-8.598388
1411812216.00,127.6,0.046,180.2400,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.53125,-0.046875,9.7695,-5.25,-38.75,-49.25,-8.598388
1411812217.00,127.7,0.041,176.3300,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.53125,0.097656,9.9805,-5.25,-38.75,-49.125,-8.598388
1411812218.00,127.8,0.062,175.7400,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.47656,0.10156,9.9688,-5.375,-38.875,-49.375,-8.598388
1411812219.00,128.0,0.067,174.9600,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.60156,-0.16406,10.1406,-5.625,-38.75,-49.375,-8.598390
1411812221.00,128.1,0.072,182.4600,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.60156,-0.027344,10.1094,-5.375,-39.0,-49.375,-8.598390
1411812222.00,128.1,0.062,167.3100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.5,0.0,10.0938,-5.375,-39.0,-49.375,-8.598390
1411812223.00,128.2,0.077,184.6900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.55859,-0.011719,9.957,-5.375,-39.25,-49.5,-8.598388
1411812224.00,128.1,0.067,170.4200,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.61719,0.015625,9.6992,-5.375,-39.375,-49.375,-8.598388
1411812225.00,128.0,0.062,164.2700,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.69922,0.0039063,9.75,-5.375,-39.5,-49.625,-8.598388
1411812226.00,128.0,0.087,184.8400,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.69922,0.17188,10.0352,-5.375,-39.75,-49.625,-8.598388
1411812227.00,127.8,0.067,173.1400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.65234,-0.039063,10.0469,-5.375,-39.625,-49.5,-8.598387
1411812228.00,127.7,0.072,173.5500,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.69141,-0.0039063,10.1641,-5.25,-39.75,-49.5,-8.598385
1411812229.00,127.5,0.077,184.4700,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.57422,0.03125,10.0234,-5.375,-39.75,-49.5,-8.598385
1411812231.00,127.3,0.057,153.5900,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.54688,0.019531,10.0195,-5.25,-39.75,-49.375,-8.598383
1411812232.00,127.0,0.072,177.5700,1.1,1.5,1.8,-0.013672,0.011719,0.0039063,-0.55469,0.019531,9.8789,-5.375,-39.625,-49.375,-8.598382
1411812233.00,126.9,0.082,186.1400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.62109,-0.070313,9.7617,-5.375,-39.375,-49.5,-8.598382
1411812234.00,126.7,0.062,166.0400,1.1,1.5,1.8,-0.017578,0.013672,0.0019531,-0.55078,0.14453,9.8906,-5.625,-39.5,-49.375,-8.598382
1411812236.00,126.3,0.057,165.1200,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.58984,0.17578,10.0547,-5.625,-39.25,-49.25,-8.598378
1411812237.00,126.5,0.093,188.3800,1.1,1.5,1.8,-0.017578,0.019531,0.0019531,-0.57031,-0.15625,10.2305,-5.625,-39.125,-49.25,-8.598380
1411812238.00,126.3,0.062,154.4100,1.1,1.5,1.8,-0.013672,0.015625,0.0019531,-0.52344,0.046875,10.1328,-5.75,-39.125,-49.375,-8.598380
1411812239.00,126.2,0.087,189.2700,1.1,1.5,1.8,-0.023438,0.015625,0.0019531,-0.38281,0.035156,10.0273,-6.0,-39.0,-49.375,-8.598380
1411812241.00,126.5,0.062,166.5500,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.41797,-0.050781,9.9453,-6.25,-38.875,-49.25,-8.598382
1411812242.00,126.6,0.077,186.3100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.60156,-0.011719,9.7188,-6.125,-39.0,-49.125,-8.598382
1411812243.00,126.6,0.072,177.0300,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.56641,0.042969,9.793,-6.0,-39.0,-49.125,-8.598382
1411812244.00,126.6,0.067,175.5600,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.61719,0.17578,9.9766,-6.0,-38.875,-49.125,-8.598383
1411812246.00,126.6,0.067,175.3600,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.62109,-0.089844,10.043,-6.125,-38.875,-49.0,-8.598383
1411812247.00,126.5,0.072,180.9800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.63672,-0.085938,10.1406,-6.25,-39.125,-48.875,-8.598383
1411812248.00,126.6,0.087,183.9000,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.58203,0.12109,10.0469,-6.0,-39.25,-48.625,-8.598385
1411812249.00,126.6,0.051,163.2100,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.49219,0.035156,10.0898,-5.875,-39.0,-48.625,-8.598385
1411812251.00,126.8,0.077,181.7700,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.61719,-0.011719,9.8359,-5.875,-39.0,-48.625,-8.598387
1411812252.00,126.9,0.082,184.6100,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.68359,-0.054688,9.7695,-5.875,-38.875,-48.5,-8.598387
1411812253.00,127.0,0.057,174.1100,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.71094,0.12891,9.9492,-5.875,-38.75,-48.625,-8.598388
1411812254.00,127.0,0.026,186.6500,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.65625,0.14844,10.0703,-5.875,-38.625,-48.625,-8.598390
1411812255.00,127.2,0.010,160.9700,1.1,1.5,1.8,-0.013672,0.015625,0.0039063,-0.64844,-0.11328,10.1172,-5.875,-38.5,-48.875,-8.598390
1411812256.00,127.4,0.010,94.8300,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.60547,0.058594,10.1211,-5.75,-38.25,-49.0,-8.598392
1411812257.00,127.6,0.021,187.3100,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.5,0.015625,10.0117,-5.75,-38.25,-48.875,-8.598393
1411812258.00,128.3,0.093,180.2400,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.49219,-0.015625,9.9609,-5.625,-38.375,-48.875,-8.598397
1411812259.00,129.0,0.093,178.7200,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.55859,-0.046875,9.8477,-5.5,-38.5,-49.0,-8.598400
1411812261.00,130.4,0.108,180.6100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.49219,-0.023438,9.8516,-5.75,-38.75,-49.125,-8.598407
1411812262.00,131.1,0.077,181.7600,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.49609,0.21484,10.0039,-5.75,-39.125,-49.125,-8.598410
1411812263.00,131.7,0.077,184.9000,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.44922,-0.097656,10.0898,-5.5,-39.375,-49.125,-8.598412
1411812264.00,132.3,0.087,181.9200,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.53906,-0.097656,10.2461,-5.5,-39.375,-49.25,-8.598415
1411812266.00,133.3,0.082,184.2400,1.1,1.5,1.8,-0.021484,0.017578,0.0039063,-0.49219,0.0,10.1133,-5.375,-39.625,-49.25,-8.598420
1411812267.00,133.7,0.082,180.3900,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.49219,-0.074219,9.9883,-5.375,-39.5,-49.375,-8.598422
1411812268.00,134.1,0.082,183.4700,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.54297,0.070313,9.8008,-5.625,-39.75,-49.375,-8.598423
1411812269.00,134.4,0.077,181.4800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.58203,-0.046875,9.7734,-5.875,-39.625,-49.375,-8.598425
1411812271.00,134.8,0.077,179.5600,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.63281,0.125,9.9922,-5.75,-39.875,-49.375,-8.598427
1411812272.00,135.0,0.077,183.3300,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.60547,0.14063,10.0977,-5.875,-39.5,-49.375,-8.598428
